文本,文本1
"江西省第十三届人民代表大会常务委员会公告
（143号）","

            江西省第十三届人民代表大会常务委员会公告
（143号）
　　《江西省人民代表大会常务委员会关于废止〈江西省信访条例〉的决定》已由江西省第十三届人民代表大会常务委员会第四十次会议于2022年7月26日通过，现予公布，自公布之日起施行。
江西省人民代表大会常务委员会
　　2022年7月26日

江西省人民代表大会常务委员会关于废止《江西省信访条例》的决定
（2022年7月26日江西省第十三届人民代表大会常务委员会第四十次会议通过）

　　江西省第十三届人民代表大会常务委员会第四十次会议决定废止《江西省信访条例》。
　　本决定自公布之日起生效。


        "
"山西省人民代表大会常务委员会公告
（第一百一十九号）","

            山西省人民代表大会常务委员会公告
（第一百一十九号）
　　《山西省人民代表大会常务委员会关于废止〈山西省信访条例〉的决定》已由山西省第十三届人民代表大会常务委员会第三十六次会议于2022年7月22日通过，现予公布，自2022年7月23日起废止。
山西省人民代表大会常务委员会
　　2022年7月22日

山西省人民代表大会常务委员会关于废止《山西省信访条例》的决定
（2022年7月22日山西省十三届人民代表大会常务委员会第三十六次会议通过）

　　山西省第十三届人民代表大会常务委员会第三十六次会议决定：
　　1996年8月1日山西省第八届人民代表大会常务委员会第二十三次会议通过、2010年5月27日山西省第十一届人民代表大会常务委员会第十六次会议修订的《山西省信访条例》自2022年7月23日起废止。
 

        "
"重庆市人民代表大会常务委员会公告
（〔五届〕第189号）","

            重庆市人民代表大会常务委员会公告
（〔五届〕第189号）
　　《重庆市人民代表大会常务委员会关于废止〈重庆市信访条例〉的决定》已于2022年6月10日经重庆市第五届人民代表大会常务委员会第三十四次会议通过，现予公布，自公布之日起施行。
重庆市人民代表大会常务委员会
　　2022年6月10日

重庆市人民代表大会常务委员会关于废止《重庆市信访条例》的决定
（2022年6月10日重庆市第五届人民代表大会常务委员会第三十四次会议通过）

　　重庆市第五届人民代表大会常务委员会第三十四次会议决定，废止《重庆市信访条例》（2001年9月26日重庆市第一届人民代表大会常务委员会第三十五次会议通过2009年3月26日重庆市第三届人民代表大会常务委员会第九次会议第一次修订2020年6月5日重庆市第五届人民代表大会常务委员会第十八次会议第二次修订）。
　　本决定自公布之日起施行。


        "
"甘肃省人民代表大会常务委员会公告
（第122号）","

            甘肃省人民代表大会常务委员会公告
（第122号）
　　《甘肃省人民代表大会常务委员会关于废止〈甘肃省信访条例〉的决定》已由甘肃省第十三届人民代表大会常务委员会第三十一次会议于2022年6月2日通过，现予公布。
甘肃省人民代表大会常务委员会
　　2022年6月2日

甘肃省人民代表大会常务委员会关于废止《甘肃省信访条例》的决定
（2022年6月2日甘肃省第十三届人民代表大会常务委员会第三十一次会议通过）

　　甘肃省第十三届人民代表大会常务委员会第三十一次会议决定，废止《甘肃省信访条例》（1992年6月30日甘肃省第七届人民代表大会常务委员会第二十七次会议通过2002年7月26日甘肃省第九届人民代表大会常务委员会第二十九次会议修订2006年9月28日甘肃省第十届人民代表大会常务委员会第二十四次会议修正）。
　　本决定自公布之日起施行。


        "
"广东省第十三届人民代表大会常务委员会公告
（第110号）","

            广东省第十三届人民代表大会常务委员会公告
（第110号）
　　《广东省人民代表大会常务委员会关于废止〈广东省信访条例〉的决定》已由广东省第十三届人民代表大会常务委员会第四十三次会议于2022年6月1日通过，现予公布，自公布之日起施行。
广东省人民代表大会常务委员会
　　2022年6月1日

广东省人民代表大会常务委员会关于废止《广东省信访条例》的决定
（2022年6月1日广东省第十三届人民代表大会常务委员会第四十三次会议通过）

　　广东省第十三届人民代表大会常务委员会第四十三次会议决定，废止《广东省信访条例》（2014年3月27日广东省第十二届人民代表大会常务委员会第七次会议通过）。
　　本决定自公布之日起施行。


        "
"湖北省人民代表大会常务委员会公告
（第三百一十四号）","

            湖北省人民代表大会常务委员会公告
（第三百一十四号）
　　《湖北省人民代表大会常务委员会关于废止〈湖北省信访条例〉的决定》已由湖北省第十三届人民代表大会常务委员会第三十一次会议于2022年5月26日通过，现予公布，自公布之日起施行。
湖北省人民代表大会常务委员会
　　2022年5月26日

湖北省人民代表大会常务委员会关于废止《湖北省信访条例》的决定
（2022年5月26日湖北省第十三届人民代表大会常务委员会第三十一次会议通过）

　　湖北省第十三届人民代表大会常务委员会第三十一次会议决定：废止《湖北省信访条例》。
　　本决定自公布之日起施行。


        "
"内蒙古自治区第十三届人民代表大会常务委员会公告
（第八十三号）","

            内蒙古自治区第十三届人民代表大会常务委员会公告
（第八十三号）
　　2022年5月26日，内蒙古自治区第十三届人民代表大会常务委员会第三十五次会议通过《内蒙古自治区人民代表大会常务委员会关于废止＜内蒙古自治区各级人民代表大会常务委员会信访条例＞的决定》，现予公布，自2022年6月1日起生效。
2022年5月26日

内蒙古自治区人民代表大会常务委员会关于废止《内蒙古自治区各级人民代表大会常务委员会信访条例》的决定
（2022年5月26日内蒙古自治区第十三届人民代表大会常务委员会第三十五次会议通过）

　　内蒙古自治区第十三届人民代表大会常务委员会第三十五次会议，决定废止1999年11月29日内蒙古自治区第九届人民代表大会常务委员会第十二次会议通过， 2006年7月28日内蒙古自治区第十届人民代表大会常务委员会第二十三次会议修订的《内蒙古自治区各级人民代表大会常务委员会信访条例》。
　　本决定自2022年6月1日起生效。
 

        "
"贵州省人民代表大会常务委员会公告
（2022第11号）","

            贵州省人民代表大会常务委员会公告
（2022第11号）
　　《贵州省人民代表大会常务委员会关于废止〈贵州省信访条例〉的决定》已于2022年5月25日经贵州省第十三届人民代表大会常务委员会第三十二次会议通过，现予公布，自2022年5月26日起施行。
贵州省人民代表大会常务委员会
　　2022年5月25日



        "
"辽宁省人民代表大会常务委员会公告
（﹝十三届﹞第九十三号）","

            辽宁省人民代表大会常务委员会公告
（﹝十三届﹞第九十三号）
　　《辽宁省人民代表大会常务委员会关于废止〈辽宁省信访条例〉的决定》已由辽宁省第十三届人民代表大会常务委员会第三十二次会议于2022年4月21日通过，现予公布，自2022年5月1日起施行。
辽宁省人民代表大会常务委员会
　　2022年4月21日

辽宁省人民代表大会常务委员会关于废止《辽宁省信访条例》的决定
　　（2022年4月21日辽宁省第十三届人民代表大会常务委员会第三十二次会议通过）

　　辽宁省第十三届人民代表大会常务委员会第三十二次会议决定废止《辽宁省信访条例》（1994年9月25日辽宁省第八届人民代表大会常务委员会第十次会议通过）。
　　本决定自2022年5月1日起施行。


        "
"江苏省第十三届人民代表大会常务委员会公告
（第64号）
","

            江苏省第十三届人民代表大会常务委员会公告
（第64号）
　　《江苏省信访条例》已由江苏省第十三届人民代表大会常务委员会第二十四次会议于2021年7月29日修订通过，现予公布，自2021年10月1日起施行。
江苏省人民代表大会常务委员会

　　2021年7月29日

江苏省信访条例
（2006年5月30日江苏省第十届人民代表大会常务委员会第二十三次会议通过 2021年7月29日江苏省第十三届人民代表大会常务委员会第二十四次会议修订）

目 录

　　第一章　总则

　　第二章　信访人权利与义务

　　第三章　国家机关信访工作职责

　　第四章　信访事项提出与受理

　　第一节　信访事项提出

　　第二节　信访事项受理

　　第五章　信访事项办理

　　第六章　信访工作管理

　　第一节　信访工作责任制

　　第二节　信访工作监督

　　第三节　信访秩序维护

　　第七章　法律责任

　　第八章　附则

第一章　总则
　　第一条　为了密切国家机关同人民群众的联系，保障信访人合法权益，规范国家机关信访工作，维护信访秩序，加强社会治理，促进社会和谐稳定，根据宪法和有关法律法规，结合本省实际，制定本条例。　　第二条　本条例适用于本省各级国家权力机关、行政机关、审判机关、检察机关（以下统称国家机关）的信访工作和信访人的信访活动。本省各级监察机关处理信访举报工作，按照国家有关规定执行。　　本条例所称信访，是指公民、法人或者其他组织通过网络、书信、传真、电话、走访等形式，向国家机关反映情况，提出意见建议、投诉请求或者申诉、检举、控告，依法由有关国家机关处理的活动。　　本条例所称信访人，是指通过前款规定的形式，反映情况，提出意见建议、投诉请求或者申诉、检举、控告的公民、法人或者其他组织。　　第三条　公民、法人和其他组织依法享有信访权利。　　国家机关应当尊重和保障公民、法人和其他组织的信访权利，畅通信访渠道，依法受理、规范办理信访事项，接受人民群众监督。　　第四条　信访工作应当坚持中国共产党领导、坚持以人民为中心，遵循下列原则：　　（一）属地管理、分级负责，谁主管、谁负责；　　（二）依法及时就地解决问题；　　（三）诉访分离，分类处理；　　（四）源头预防与矛盾化解并重；　　（五）处理实际问题与疏导教育相结合。　　第五条　国家机关应当加强信访问题源头治理，科学民主依法决策，依法履行职责，规范工作行为，改进工作作风，建立健全重大决策社会稳定风险评估和应对处置机制，预防和减少信访问题发生。　　国家机关应当建立健全矛盾纠纷排查化解机制，防范重大矛盾纠纷引发信访问题。　　第六条　国家机关应当建立健全人民建议征集制度，鼓励和引导公民、法人和其他组织就经济社会发展、改进国家机关工作、维护社会公共利益等提出意见和建议。　　信访人反映的情况，提出的意见建议，对经济社会发展、改进国家机关工作、维护社会公共利益等有贡献的，有关国家机关、单位应当给予奖励。　　第七条　省、市、县（市、区）、乡镇（街道）建立信访工作联席会议制度，统筹协调、整体推进、督促落实本地区信访工作。　　国家机关应当建立健全信访工作制度，落实信访工作责任，健全考核评价机制，将信访工作纳入督查范围，对信访工作成绩突出的单位、个人按照规定给予表彰、奖励。　　第八条　国家机关应当完善信访工作保障机制，保障信访工作所需要的人员、场所、经费，建立信访干部培训、激励等制度。　　地方各级人民政府应当设立信访专项资金。第二章　信访人权利与义务　　第九条　信访人依法信访的行为受法律保护。任何单位和个人不得压制、阻挠、干预信访人依法信访，不得打击报复信访人。　　国家机关及其工作人员不得泄露和非法提供在信访工作中知悉的信访人的个人信息、个人隐私和商业秘密。　　第十条　信访人在信访活动中，享有以下权利：　　（一）对国家机关及其工作人员提出建议、批评和意见；　　（二）了解信访工作制度及信访事项的办理程序；　　（三）向办理机关查询其信访事项的办理进展及结果；　　（四）要求负责处理信访事项的机关提供与本人信访事项有关的法律法规和政策咨询服务；　　（五）对与其信访事项有直接利害关系的工作人员，或者其他可能影响信访事项公正处理的人员，提出回避申请；　　（六）委托代理人依法提出信访事项；　　（七）对重大、复杂、疑难的信访事项，依法提出听证的申请；　　（八）依法提出复查和复核的申请；　　（九）依法申请法律援助；　　（十）法律、法规规定的其他权利。　　第十一条　信访人在信访活动中，履行以下义务：　　（一）遵守公共秩序，不得损害国家、社会、集体的利益和他人的合法权益；　　（二）诚实守信，提出信访事项应当客观真实，不得歪曲、捏造事实，不得诬告、陷害他人；　　（三）依照法律、法规规定的方式和程序提出信访事项；　　（四）配合国家机关对信访事项进行调查、核实和处理；　　（五）服从国家机关依照法律、法规、规章和政策对信访事项作出的处理决定；　　（六）法律、法规规定的其他义务。第三章　国家机关信访工作职责　　第十二条　国家机关应当落实党和国家对信访工作的决策部署，把信访工作作为了解民情、集中民智、维护民利、凝聚民心的重要工作，为人民群众排忧解难。　　国家机关应当履行下列信访工作职责：　　（一）依法受理办理信访事项，解决群众合理诉求，维护群众合法权益；　　（二）从源头上预防和减少信访问题，依法调处化解社会矛盾，促进社会和谐稳定；　　（三）落实接访下访制度，了解社情民意，化解疑难复杂信访问题；　　（四）分析研判信访形势，调整完善政策制度，防范化解信访领域重大风险；　　（五）法律、法规和国家、省规定的其他职责。　　第十三条　县级以上地方各级人民代表大会常务委员会负责下列信访事项：　　（一）对本级人民代表大会及其常务委员会作出的决议、决定和制定、批准的地方性法规的意见和建议；　　（二）对本级人民代表大会及其常务委员会工作的意见和建议；　　（三）对本级人民代表大会及其常务委员会选举、任命的人员履职行为的建议、批评和意见；　　（四）对本级人民代表大会代表执行代表职务的建议、批评和意见；　　（五）对本级人民政府、监察委员会、人民法院、人民检察院工作的建议、批评和意见；　　（六）对下一级人民代表大会及其常务委员会作出的决议、决定的意见和建议；　　（七）依法应当由人民代表大会及其常务委员会负责的其他信访事项。　　第十四条　人民政府及其工作部门负责下列信访事项：　　（一）对本行政区域内的经济、文化和社会事业等的意见和建议；　　（二）对行政机关执行法律、法规、规章和本级人民代表大会及其常务委员会的决议、决定以及上级行政机关决定、命令的意见和建议；　　（三）对行政机关制定的规章、决定、命令等规范性文件的意见和建议；　　（四）对行政机关及其工作人员的建议、批评和意见或者不服其职务行为的投诉请求；　　（五）对行政机关职权范围内应予解决的事项的投诉请求；　　（六）对法律、法规授权的管理公共事务的组织及其工作人员的建议、批评和意见或者不服其职务行为的投诉请求；　　（七）对社会团体或者企业事业单位中由国家行政机关任命、派出的人员的建议、批评和意见或者不服其职务行为的投诉请求；　　（八）对村（居）民委员会及其成员的建议、批评和意见或者不服其职务行为的投诉请求；　　（九）依法应当由人民政府及其工作部门负责的其他信访事项。　　第十五条　人民法院负责下列信访事项：　　（一）对人民法院已经发生法律效力的刑事、民事、行政案件的判决、裁定和国家赔偿案件的决定不服的申诉；　　（二）对人民法院执行工作的申诉和控告，依法可以提出执行异议的除外；　　（三）对刑事自诉、民事、行政和国家赔偿案件应当受理而没有受理的申诉；　　（四）对加强和改进人民法院工作的建议、批评和意见；　　（五）依法应当由人民法院负责的其他信访事项。　　第十六条　人民检察院负责下列信访事项：　　（一）对人民检察院处理决定不服的申诉；　　（二）对依法应当由人民检察院立案侦查的刑事案件的控告或者检举；　　（三）对人民法院生效判决、裁定、决定不服的申诉；　　（四）对公安机关刑事立案、侦查活动存在违法行为的控告或者检举；　　（五）对刑事案件判决、裁定的执行和监狱、看守所执法活动中的违法行为的控告或者检举；　　（六）对人民检察院未依法履行公益诉讼职责的建议、批评和意见；　　（七）对加强和改进检察工作的建议、批评和意见；　　（八）依法应当由人民检察院负责的其他信访事项。　　第十七条　县级以上地方人民政府应当设立信访工作机构。县级以上人民代表大会常务委员会、人民法院和人民检察院应当设立或者明确负责信访工作的机构。　　县级以上地方人民政府工作部门和乡镇人民政府（街道办事处）、开发区管理机构应当确定负责信访工作的机构和人员。　　第十八条　信访工作机构代表国家机关处理信访事项，具体承担下列工作：　　（一）登记、受理、转送、交办信访事项；　　（二）协调处理和督查、督办信访事项；　　（三）调查研究信访情况，研判信访形势，提出工作意见、建议；　　（四）指导、督促、检查、考核信访工作，落实信访工作标准化体系建设要求；　　（五）开展人民建议征集，反映社情民意；　　（六）宣传法律、法规和政策；　　（七）法律、法规规定的其他职责。　　第十九条　国家机关应当设立或者确定信访接待场所。　　县级以上地方人民政府设立人民来访接待中心，由本级人民政府信访工作机构牵头，有关部门参与联合接待。　　乡镇人民政府（街道办事处）设立人民来访接待中心。　　第二十条　国家机关应当建立健全网络信访受理平台，畅通和规范网上信访渠道，为信访人提供便利。有条件的，可以开展网络视频接访。　　建立全省统一的信访信息系统，规范应用，实现信息互联互通。　　第二十一条　国家机关应当向社会公开下列事项：　　（一）本机关信访工作机构的网址、通信地址、投诉电话、接待地址以及接待时间；　　（二）受理信访事项的范围；　　（三）办理信访事项的程序；　　（四）查询信访事项办理进展、结果的方式；　　（五）与信访工作有关的法律、法规、规章、工作制度；　　（六）其他应当公开的事项。　　第二十二条　国家机关及其工作人员应当到基层了解民情、倾听民声，就信访工作中反映的突出问题直接听取信访人的意见和建议，及时研究、分析、处理反映比较集中的信访事项。　　国家机关及其工作人员可以采取约访、专题接访、下基层接访的方式，当面听取信访人的陈述，协调解决相关信访事项。第四章　信访事项提出与受理
第一节　信访事项提出　　第二十三条　信访人应当根据国家机关的工作职责，向负责处理的国家机关提出信访事项。　　信访人应当使用真实姓名（名称），写明身份信息、证件号码、通信地址、联系电话、基本事实、要求和理由，并如实提供相关材料和线索。　　第二十四条　信访人可以通过网络、书信、传真、电话、走访等形式提出信访事项。　　倡导信访人通过国家机关设立的网络信访受理平台提出信访事项。　　以走访方式提出信访事项的，应当凭本人有效身份证明，到有权处理信访事项的本级或者上一级国家机关设立或者指定的接待场所提出。　　就同一事项集体走访的，应当推选代表，代表人数不得超过五人。　　第二十五条　信访人可以书面委托代理人代为提出信访事项并参与信访活动。代理人代理信访事项时，应当提交授权委托书及本人有效身份证件，并在授权范围内依法行使代理权。　　信访人可以委托近亲属或者本单位的工作人员，所在村（居）民委员会、工作单位以及有关社会团体推荐的公民，律师、基层法律服务工作者等作为代理人。　　无民事行为能力人或者限制民事行为能力人的信访事项，由其监护人或者监护人委托的代理人代为提出。　　处于传染期的传染病患者的信访事项，应当采用走访以外的形式或者委托代理人代为提出。　　法人或者其他组织的信访事项，由其法定代表人、主要负责人或者委托的代理人提出。第二节　信访事项受理　　第二十六条　国家机关对信访人提出的信访事项应当及时接收、登记，依照法律、法规和相关规定决定是否受理。　　信访事项紧急、重大的，信访工作机构及其工作人员应当及时报告本级国家机关负责人，并在职权范围内依法及时采取措施，果断妥善处理。　　发现涉嫌违法犯罪线索的，应当及时移送有关国家机关处理。　　第二十七条　国家机关收到信访事项后，能够当场答复是否受理的，应当当场书面答复；不能当场答复的，应当自收到信访事项之日起七个工作日内书面告知信访人。　　第二十八条　人民政府信访工作机构收到信访事项，应当录入信访信息系统，在七个工作日内按照下列方式处理：　　（一）属于本级人民政府及其工作部门职责范围的信访事项，转送有权处理的行政机关；　　（二）属于下级人民政府及其工作部门职责范围的信访事项，转送下级信访工作机构或者直接转送有权处理的行政机关；　　（三）属于其他国家机关职责范围的信访事项，转送有关国家机关。　　对重要信访事项，可以直接交办有权处理的国家机关。　　第二十九条　人民政府信访工作机构以外的政府工作部门收到的信访事项，应当在七个工作日内作如下处理：　　（一）属于本级行政机关职责范围的，应当受理并书面告知信访人；　　（二）属于下级行政机关职责范围的，应当转送、交办有权处理机关；　　（三）其他国家机关转送、交办的信访事项，不属于本机关以及下级机关职责范围的，应当退回并书面说明理由；　　（四）信访人提出的信访事项，不属于本机关以及下级机关职责范围的，不予受理并书面说明理由。　　第三十条　信访事项涉及两个或者两个以上国家机关的，负有职责的机关均应受理。　　行政机关分立、合并、撤销或者职权转移的，由继续行使其职权的行政机关受理信访事项；职责不清的，由本级人民政府或者其指定的机关受理。　　第三十一条　信访人提出的请求，依法应当通过行政许可、行政确认、行政裁决、行政给付、行政处罚、行政强制等途径解决的，有关行政机关应当依照有关法律、法规规定的程序处理。　　第三十二条　对已经通过或者依法应当通过诉讼、仲裁、行政复议等法定途径解决的事项，不予受理，但应当告知信访人依照法定程序向司法机关、仲裁机构、有关行政机关提出。第五章　信访事项办理　　第三十三条　国家机关办理信访事项应当事实清楚、证据确凿、程序合法、处理恰当、手续完备。　　第三十四条　国家机关工作人员与信访事项、信访人有直接利害关系的，应当回避。　　工作人员的回避，由其所属国家机关负责人决定。　　第三十五条　国家机关办理信访事项，应当听取信访人陈述事实和理由，了解基本情况；必要时，可以要求信访人、有关组织和人员说明情况；需要进一步核实情况的，可以向其他组织和人员调查，有关组织和人员应当配合。　　国家机关办理信访事项，可以按照规定举行听证。听证应当公开举行，通过质询、辩论、评议、合议等方式，查明事实、分清责任。　　第三十六条　国家机关对所受理的信访事项，按照申诉、求决、意见建议、检举控告等类别分类处理。　　对内容表述不清晰、无法辨明具体诉求及咨询、感谢类等信访事项，存档备查，有必要的可告知信访人补充诉求，并应酌情做好告知、回复工作。　　第三十七条　国家机关办理申诉、求决类信访事项，应当调查核实，作出处理意见，并书面答复信访人。　　请求事实清楚，符合法律、法规、规章、政策或者其他有关规定的，予以支持。作出支持信访请求意见的国家机关，应当督促有关机关或者单位限期执行。　　第三十八条　国家机关办理意见建议类信访事项，应当分析研究，采纳科学合理的意见建议，并向信访人反馈办理结果。　　第三十九条　国家机关办理检举控告类信访事项，应当按照国家有关规定组织调查、核实，依法作出处理。　　第四十条　负责处理信访事项的国家机关应当自受理之日起六十日内办理完毕；情况复杂的，经本机关负责人批准，可以适当延长办理期限，但是延长期限不得超过三十日，并告知信访人延期理由。法律、法规另有规定的，从其规定。　　对交办的申诉、求决类信访事项，负责处理的国家机关应当在指定期限内反馈办理结果，提交办结报告。　　第四十一条　对于下列信访事项，负责处理的国家机关可以进行简易办理，一般应在三个工作日内决定是否受理，十个工作日内作出处理意见，除信访人要求出具纸质受理告知书、处理意见书的，可以当面或者通过网络信访平台、电话、手机短信等快捷方式告知、答复信访人：　　（一）事实清楚、责任明确、争议不大、易于解决的；　　（二）涉及群众日常生产生活、时效性强、应当即时处理的；　　（三）有关国家机关已有明确承诺或者结论的；　　（四）其他可以简易办理的。　　第四十二条　行政机关处理申诉、求决类信访事项，实行处理、复查、复核三级程序。　　信访人对处理意见不服的，可以自收到书面答复之日起三十日内请求处理机关的上一级行政机关复查。原处理机关应当在上一级机关受理复查请求之日起五个工作日内，向复查机关提交作出处理意见的证据、依据和其他有关材料。复查机关应当自收到复查请求之日起三十日内提出复查意见，并予以书面答复。　　信访人对复查意见不服的，可以自收到书面答复之日起三十日内请求复查机关的上一级机关复核。原复查机关应当在上一级机关受理复核请求之日起五个工作日内，向复核机关提交作出复查意见的证据、依据和其他有关材料。复核机关应当自收到复核请求之日起三十日内提出复核意见，并予以书面答复。　　第四十三条　收到复查或者复核请求的行政机关，发现信访人提出的事项已经或者依法应当通过诉讼、仲裁、行政复议等法定途径处理，但办理机关或者复查机关按照信访程序处理的，应当撤销原处理意见或者复查意见，并告知信访人通过法定途径处理。　　第四十四条　收到复查或者复核请求的行政机关经过审查，原处理意见或者复查意见认定事实清楚、证据确凿、适用依据正确、程序合法、内容适当的，应当予以维持；有下列情形之一，应当予以撤销或者变更：　　（一）主要事实不清、证据不足的；　　（二）适用法律、法规、规章或者其他有关规定错误的；　　（三）违反法定程序的；　　（四）超越或者滥用职权的；　　（五）其他应当撤销或者变更的。　　第四十五条　有下列情形之一，国家机关信访工作机构应当及时督办，并提出改进建议：　　（一）信访事项的处理不符合有关法律、法规或者政策规定的；　　（二）未按照法定程序受理、办理信访事项，无正当理由未按照规定期限办结信访事项，或者未按照规定反馈信访事项办理结果的；　　（三）办理信访事项推诿、敷衍、弄虚作假的；　　（四）不执行信访处理意见的；　　（五）其他需要督办的。　　第四十六条　国家机关应当建立信访和人民调解、行政调解、司法调解等多元联动化解机制，组织动员社会力量参与，综合运用法律、政策、经济、行政等手段和教育、调解、疏导等办法化解矛盾纠纷。　　第四十七条　国家机关办理信访事项时，对生活确有困难的信访人，可以协调有关机关或者机构依照救助制度予以必要的救助。　　第四十八条　信访事项有下列情形之一，国家机关不再受理，并做好解释、疏导工作：　　（一）信访事项经过处理、复查、复核三级程序，信访人对复核意见不服，仍然以同一事实和理由提出信访事项的；　　（二）信访事项处理、复查意见书已送达信访人，信访人无正当理由未在规定期限内提出复查、复核申请的；　　（三）通过和解、调解依法达成书面协议并已履行完毕的；　　（四）法律、法规和国家规定的其他不再受理的情形。　　第四十九条　信访事项办理过程中，信访人申请撤回提出的信访事项，可以撤回。撤回后，处理终止。第六章　信访工作管理
